autoDriveSum,autoTurn,autoTimer
-0,0,0.004358
-0,0,0.020528
-0,0,0.041204
-0,0,0.061957
-0,0,0.080388
-0,0,0.100453
-0,0,0.124834
-0,0,0.140954
-0,0,0.161186
-0,0,0.182011
-0,0,0.201645
-0,0,0.220932
-0,0,0.240381
-0,0,0.261721
-0,0,0.281288
-0,0,0.3018
-0,0,0.321516
-0,0,0.340889
-0,0,0.361581
-0,0,0.382349
-0,0,0.401566
-0,0,0.421641
0.00484035,0,0.441137
0.0175781,0,0.461452
0.023947,0,0.481342
0.023947,0,0.502792
0.023947,0,0.520331
0.023947,0,0.540907
0.023947,0,0.561509
0.023947,0,0.581008
0.0175781,0,0.60135
0.0175781,0,0.620207
0.0112092,0,0.642388
0.0112092,0,0.661431
0.0112092,0,0.682437
0.0112092,0,0.701365
0.0112092,0,0.721581
0.0112092,0,0.741577
0.0112092,0,0.76132
0.0112092,0,0.780294
0.0112092,0,0.800548
0.0112092,0,0.820971
0.0112092,0,0.840592
0.0430537,0,0.861472
0.0430537,0,0.88046
0.0494226,0,0.902344
0.0876359,0,0.920788
0.144956,0,0.941213
0.265965,0,0.961507
0.265965,0,0.982564
0.316916,0,1.00157
0.329654,0,1.02075
0.374236,0,1.04149
0.431556,0,1.06074
0.4634,0,1.08046
0.4634,0,1.10159
0.4634,0,1.12155
0.4634,0,1.14148
0.4634,0,1.16049
0.4634,0,1.18025
0.4634,0,1.20061
0.4634,0,1.22115
0.4634,0,1.24141
0.4634,0,1.26136
0.4634,0,1.2813
0.4634,0,1.3014
0.4634,0,1.32097
0.4634,0,1.34122
0.4634,0,1.36164
0.4634,0,1.38107
0.457031,0,1.4012
0.457031,0,1.42038
0.450662,0,1.44116
0.450662,0,1.46074
0.450662,-0.0366848,1.48128
0.450662,-0.0366848,1.50045
0.450662,-0.081267,1.52061
0.450662,-0.138587,1.54161
0.450662,-0.138587,1.5624
0.450662,-0.157694,1.58151
0.450662,-0.170431,1.60114
0.450662,-0.170431,1.62098
0.444293,-0.215014,1.64053
0.444293,-0.29144,1.66157
0.444293,-0.29144,1.68036
0.444293,-0.34876,1.70128
0.444293,-0.386974,1.72105
0.444293,-0.412449,1.74132
0.444293,-0.425187,1.76105
0.444293,-0.425187,1.78051
0.444293,-0.425187,1.80114
0.444293,-0.425187,1.82118
0.444293,-0.425187,1.84121
0.444293,-0.425187,1.8608
0.444293,-0.425187,1.8811
0.444293,-0.425187,1.90097
0.444293,-0.425187,1.92068
0.444293,-0.425187,1.94048
0.444293,-0.425187,1.96168
0.444293,-0.431556,1.98303
0.444293,-0.431556,2.00194
0.444293,-0.431556,2.02137
0.444293,-0.431556,2.04159
0.444293,-0.431556,2.06189
0.444293,-0.431556,2.08138
0.444293,-0.431556,2.10125
0.444293,-0.431556,2.12132
0.444293,-0.431556,2.14019
0.444293,-0.431556,2.16069
0.444293,-0.444293,2.18167
0.444293,-0.444293,2.20111
0.444293,-0.4634,2.22134
0.444293,-0.495245,2.24093
0.444293,-0.501613,2.26111
0.444293,-0.501613,2.28066
0.444293,-0.527089,2.30064
0.444293,-0.527089,2.32168
0.444293,-0.527089,2.34081
0.444293,-0.527089,2.36087
0.444293,-0.527089,2.38212
0.444293,-0.527089,2.40139
0.444293,-0.527089,2.42144
0.444293,-0.527089,2.44061
0.444293,-0.527089,2.46104
0.444293,-0.527089,2.48147
0.444293,-0.527089,2.50208
0.444293,-0.527089,2.52133
0.444293,-0.527089,2.5416
0.444293,-0.444293,2.56097
0.444293,-0.374236,2.58101
0.444293,-0.29144,2.60062
0.444293,-0.1768,2.62094
0.444293,-0.0366848,2.64103
0.444293,-0.0366848,2.66103
0.444293,-0.0366848,2.68127
0.444293,-0.023947,2.70056
0.444293,-0.023947,2.72246
0.444293,-0.023947,2.74163
0.444293,-0.023947,2.76051
0.444293,-0.023947,2.78045
0.444293,-0.023947,2.80043
0.444293,-0.023947,2.82123
0.444293,-0.023947,2.84244
0.444293,-0.0175781,2.86125
0.444293,-0.0112092,2.88097
0.444293,-0.0112092,2.90174
0.444293,-0.0112092,2.92134
0.444293,-0.0112092,2.94044
0.444293,-0.0112092,2.9613
0.444293,-0.0112092,2.98159
0.444293,-0.0112092,3.00134
0.444293,-0.0112092,3.02109
0.444293,0,3.04127
0.444293,0,3.06067
0.450662,0,3.08125
0.450662,0,3.10076
0.450662,0,3.12268
0.457031,0,3.14083
0.457031,0,3.16154
0.457031,0,3.18128
0.457031,0,3.20096
0.457031,0,3.22151
0.457031,0,3.24173
0.457031,0,3.26075
0.469769,0,3.28145
0.476138,0,3.30139
0.476138,0,3.32149
0.476138,0,3.34151
0.482507,0,3.36101
0.488876,0,3.38162
0.507982,0,3.40123
0.507982,0,3.42057
0.527089,0,3.44061
0.539827,0,3.46093
0.552565,0.0182301,3.48068
0.552565,0.0182301,3.50138
0.590778,0.0888394,3.52115
0.590778,0.0888394,3.54125
0.590778,0.159449,3.56103
0.590778,0.159449,3.5826
0.590778,0.204382,3.60149
0.57804,0.262153,3.62109
0.57804,0.262153,3.64142
0.552565,0.28141,3.66152
0.552565,0.313506,3.68163
0.552565,0.339182,3.70124
0.552565,0.339182,3.72057
0.552565,0.339182,3.74106
0.533458,0.345601,3.76147
0.527089,0.35202,3.78155
0.52072,0.435467,3.80163
0.52072,0.435467,3.82147
0.482507,0.48682,3.84159
0.476138,0.48682,3.86116
0.476138,0.48682,3.88153
0.476138,0.48682,3.90118
0.476138,0.48682,3.92112
0.476138,0.48682,3.94117
0.476138,0.48682,3.96097
0.476138,0.48682,3.98186
0.476138,0.48682,4.00119
0.476138,0.48682,4.0212
0.476138,0.48682,4.04113
0.476138,0.48682,4.0604
0.476138,0.48682,4.08053
0.476138,0.48682,4.10145
0.476138,0.493239,4.12154
0.476138,0.493239,4.14136
0.476138,0.493239,4.16097
0.476138,0.493239,4.18146
0.476138,0.493239,4.20058
0.476138,0.473982,4.22137
0.476138,0.473982,4.24045
0.476138,0.461143,4.26129
0.476138,0.461143,4.28148
0.476138,0.461143,4.30206
0.476138,0.461143,4.32104
0.476138,0.461143,4.34104
0.476138,0.461143,4.36114
0.476138,0.461143,4.38118
0.476138,0.461143,4.4011
0.476138,0.461143,4.42103
0.476138,0.467562,4.44078
0.476138,0.467562,4.46111
0.476138,0.48682,4.48132
0.476138,0.48682,4.50138
0.476138,0.48682,4.52041
0.476138,0.499658,4.54139
0.476138,0.499658,4.56213
0.476138,0.499658,4.58129
0.476138,0.499658,4.60147
0.476138,0.499658,4.6216
0.476138,0.499658,4.64139
0.476138,0.499658,4.66123
0.476138,0.499658,4.68162
0.476138,0.499658,4.70054
0.476138,0.499658,4.72027
0.476138,0.499658,4.74107
0.476138,0.499658,4.76084
0.476138,0.499658,4.78101
0.476138,0.499658,4.80082
0.476138,0.499658,4.82105
0.476138,0.499658,4.84065
0.476138,0.499658,4.86184
0.482507,0.493239,4.88131
0.482507,0.493239,4.90047
0.482507,0.493239,4.92128
0.482507,0.493239,4.94155
0.482507,0.493239,4.96148
0.482507,0.493239,4.98266
0.482507,0.493239,5.00086
0.482507,0.493239,5.02142
0.482507,0.48682,5.04109
0.482507,0.48682,5.06118
0.482507,0.435467,5.08125
0.488876,0.326344,5.10102
0.495245,0.230058,5.12095
0.495245,0.133773,5.14092
0.495245,0.0888394,5.16083
0.495245,0.0888394,5.18051
0.495245,0.0888394,5.20078
0.495245,0.0824204,5.22067
0.501613,0.0439062,5.24189
0.501613,0.0439062,5.26107
0.514351,0,5.28158
0.514351,0,5.30143
0.514351,0,5.32113
0.514351,0,5.34037
0.52072,0,5.36058
0.52072,0,5.38143
0.52072,0,5.40134
0.52072,0,5.42085
0.52072,0,5.44085
0.52072,0,5.46111
0.52072,0,5.48116
0.52072,0,5.50066
0.52072,0,5.52114
0.52072,0,5.54109
0.52072,0,5.56078
0.52072,0,5.58256
0.52072,0,5.60115
0.514351,0,5.62077
0.501613,0,5.64142
0.501613,0,5.66098
0.501613,0,5.68159
0.495245,0,5.70123
0.495245,0,5.72134
0.495245,0,5.74024
0.495245,0,5.76066
0.495245,0,5.78143
0.495245,0,5.80156
0.495245,0,5.82115
0.495245,0,5.84128
0.495245,0,5.86119
0.495245,0,5.88108
0.495245,0,5.90109
0.495245,0,5.92108
0.495245,0,5.94048
0.501613,0,5.9611
0.501613,0,5.98159
0.501613,0,6.00031
0.501613,0,6.021
0.501613,0,6.04056
0.495245,0,6.06129
0.495245,0,6.0816
0.495245,0,6.10048
0.495245,0,6.12162
0.495245,0,6.14129
0.495245,0,6.16145
0.495245,0,6.18192
0.495245,0,6.20097
0.495245,0.011811,6.22116
0.495245,0.0310681,6.24139
0.495245,0.0439062,6.26138
0.495245,0.0503252,6.28146
0.495245,0.0503252,6.30087
0.495245,0.0631633,6.32143
0.495245,0.0695823,6.3415
0.495245,0.0760014,6.361
0.495245,0.0760014,6.38059
0.495245,0.0888394,6.40126
0.495245,0.0888394,6.42077
0.495245,0.0888394,6.44148
0.495245,0.0888394,6.46095
0.495245,0.0888394,6.48393
0.495245,0.0888394,6.50106
0.495245,0.0888394,6.52103
0.495245,0.0888394,6.54109
0.495245,0.133773,6.5613
0.488876,0.165868,6.58122
0.488876,0.191544,6.60106
0.482507,0.210801,6.62125
0.482507,0.210801,6.6405
0.482507,0.21722,6.66131
0.4634,0.223639,6.68096
0.450662,0.249315,6.70119
0.444293,0.274991,6.72092
0.444293,0.300668,6.74067
0.444293,0.300668,6.7613
0.444293,0.332763,6.78209
0.444293,0.332763,6.80047
0.444293,0.332763,6.82085
0.444293,0.332763,6.84091
0.444293,0.332763,6.86146
0.444293,0.332763,6.88054
0.444293,0.339182,6.90187
0.444293,0.339182,6.92078
0.444293,0.339182,6.94138
0.444293,0.339182,6.96081
0.444293,0.384115,6.98175
0.444293,0.384115,7.00105
0.444293,0.384115,7.02137
0.444293,0.384115,7.04076
0.444293,0.377696,7.06108
0.444293,0.384115,7.08314
0.444293,0.384115,7.10182
0.444293,0.384115,7.12144
0.444293,0.384115,7.14125
0.444293,0.403372,7.16136
0.444293,0.403372,7.18089
0.444293,0.467562,7.20132
0.444293,0.531753,7.2216
0.444293,0.531753,7.24147
0.444293,0.531753,7.26053
0.444293,0.531753,7.28088
0.444293,0.538172,7.30166
0.444293,0.538172,7.32128
0.444293,0.538172,7.34102
0.444293,0.538172,7.36084
0.444293,0.531753,7.38236
0.444293,0.531753,7.4014
0.444293,0.531753,7.42074
0.444293,0.531753,7.44038
0.444293,0.531753,7.46059
0.444293,0.531753,7.48188
0.444293,0.531753,7.50185
0.444293,0.531753,7.52116
0.444293,0.525334,7.54157
0.444293,0.525334,7.56065
0.444293,0.448305,7.58194
0.444293,0.294249,7.60228
0.444293,0.294249,7.62068
0.444293,0.0567443,7.64103
0.444293,0,7.66131
0.444293,0,7.68129
0.444293,0,7.70089
0.444293,0,7.72112
0.444293,0,7.74079
0.444293,0,7.76084
0.444293,0,7.78094
0.444293,0,7.80088
